value,medical_category,risk_level,z_score
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1416.0,Very Low Birth Weight (VLBW),Very High,3.13
1415.0,Very Low Birth Weight (VLBW),Very High,3.13
1415.0,Very Low Birth Weight (VLBW),Very High,3.13
1415.0,Very Low Birth Weight (VLBW),Very High,3.13
1415.0,Very Low Birth Weight (VLBW),Very High,3.13
1415.0,Very Low Birth Weight (VLBW),Very High,3.13
1415.0,Very Low Birth Weight (VLBW),Very High,3.13
1415.0,Very Low Birth Weight (VLBW),Very High,3.13
1415.0,Very Low Birth Weight (VLBW),Very High,3.13
1415.0,Very Low Birth Weight (VLBW),Very High,3.13
1415.0,Very Low Birth Weight (VLBW),Very High,3.13
1415.0,Very Low Birth Weight (VLBW),Very High,3.13
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1410.0,Very Low Birth Weight (VLBW),Very High,3.14
1409.0,Very Low Birth Weight (VLBW),Very High,3.14
1405.0,Very Low Birth Weight (VLBW),Very High,3.15
1405.0,Very Low Birth Weight (VLBW),Very High,3.15
1405.0,Very Low Birth Weight (VLBW),Very High,3.15
1405.0,Very Low Birth Weight (VLBW),Very High,3.15
1405.0,Very Low Birth Weight (VLBW),Very High,3.15
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
1400.0,Very Low Birth Weight (VLBW),Very High,3.16
